row,col,state,conductance_s
0,0,Ron,1.000000000000e-03
0,1,Roff,1.000000000000e-06
0,2,Roff,1.000000000000e-06
0,3,Roff,1.000000000000e-06
0,4,Ron,1.000000000000e-03
0,5,Ron,1.000000000000e-03
0,6,Roff,1.000000000000e-06
0,7,Roff,1.000000000000e-06
0,8,Roff,1.000000000000e-06
0,9,Roff,1.000000000000e-06
0,10,Roff,1.000000000000e-06
0,11,Roff,1.000000000000e-06
0,12,Roff,1.000000000000e-06
0,13,Roff,1.000000000000e-06
0,14,Ron,1.000000000000e-03
0,15,Roff,1.000000000000e-06
0,16,Ron,1.000000000000e-03
0,17,Roff,1.000000000000e-06
0,18,Ron,1.000000000000e-03
0,19,Roff,1.000000000000e-06
0,20,Roff,1.000000000000e-06
0,21,Roff,1.000000000000e-06
0,22,Ron,1.000000000000e-03
0,23,Ron,1.000000000000e-03
0,24,Roff,1.000000000000e-06
0,25,Roff,1.000000000000e-06
0,26,Roff,1.000000000000e-06
0,27,Roff,1.000000000000e-06
0,28,Roff,1.000000000000e-06
0,29,Ron,1.000000000000e-03
0,30,Ron,1.000000000000e-03
0,31,Roff,1.000000000000e-06
0,32,Ron,1.000000000000e-03
0,33,Ron,1.000000000000e-03
0,34,Roff,1.000000000000e-06
0,35,Roff,1.000000000000e-06
0,36,Roff,1.000000000000e-06
0,37,Ron,1.000000000000e-03
0,38,Roff,1.000000000000e-06
0,39,Ron,1.000000000000e-03
0,40,Ron,1.000000000000e-03
0,41,Ron,1.000000000000e-03
0,42,Roff,1.000000000000e-06
0,43,Ron,1.000000000000e-03
0,44,Ron,1.000000000000e-03
0,45,Roff,1.000000000000e-06
0,46,Roff,1.000000000000e-06
0,47,Roff,1.000000000000e-06
0,48,Ron,1.000000000000e-03
0,49,Roff,1.000000000000e-06
0,50,Ron,1.000000000000e-03
0,51,Ron,1.000000000000e-03
0,52,Roff,1.000000000000e-06
0,53,Ron,1.000000000000e-03
0,54,Roff,1.000000000000e-06
0,55,Ron,1.000000000000e-03
0,56,Ron,1.000000000000e-03
0,57,Ron,1.000000000000e-03
0,58,Ron,1.000000000000e-03
0,59,Roff,1.000000000000e-06
0,60,Roff,1.000000000000e-06
0,61,Ron,1.000000000000e-03
0,62,Roff,1.000000000000e-06
0,63,Ron,1.000000000000e-03
0,64,Ron,1.000000000000e-03
0,65,Ron,1.000000000000e-03
0,66,Roff,1.000000000000e-06
0,67,Roff,1.000000000000e-06
0,68,Ron,1.000000000000e-03
0,69,Ron,1.000000000000e-03
0,70,Roff,1.000000000000e-06
0,71,Roff,1.000000000000e-06
0,72,Roff,1.000000000000e-06
0,73,Roff,1.000000000000e-06
0,74,Roff,1.000000000000e-06
0,75,Ron,1.000000000000e-03
0,76,Roff,1.000000000000e-06
0,77,Roff,1.000000000000e-06
0,78,Ron,1.000000000000e-03
0,79,Roff,1.000000000000e-06
0,80,Ron,1.000000000000e-03
0,81,Ron,1.000000000000e-03
0,82,Ron,1.000000000000e-03
0,83,Ron,1.000000000000e-03
0,84,Roff,1.000000000000e-06
0,85,Roff,1.000000000000e-06
0,86,Ron,1.000000000000e-03
0,87,Roff,1.000000000000e-06
0,88,Ron,1.000000000000e-03
0,89,Roff,1.000000000000e-06
0,90,Ron,1.000000000000e-03
0,91,Ron,1.000000000000e-03
0,92,Roff,1.000000000000e-06
0,93,Roff,1.000000000000e-06
0,94,Roff,1.000000000000e-06
0,95,Roff,1.000000000000e-06
0,96,Roff,1.000000000000e-06
0,97,Roff,1.000000000000e-06
0,98,Ron,1.000000000000e-03
0,99,Roff,1.000000000000e-06
0,100,Ron,1.000000000000e-03
0,101,Roff,1.000000000000e-06
0,102,Roff,1.000000000000e-06
0,103,Roff,1.000000000000e-06
0,104,Ron,1.000000000000e-03
0,105,Roff,1.000000000000e-06
0,106,Roff,1.000000000000e-06
0,107,Roff,1.000000000000e-06
0,108,Ron,1.000000000000e-03
0,109,Ron,1.000000000000e-03
0,110,Ron,1.000000000000e-03
0,111,Ron,1.000000000000e-03
0,112,Ron,1.000000000000e-03
0,113,Roff,1.000000000000e-06
0,114,Ron,1.000000000000e-03
0,115,Ron,1.000000000000e-03
0,116,Ron,1.000000000000e-03
0,117,Ron,1.000000000000e-03
0,118,Roff,1.000000000000e-06
0,119,Roff,1.000000000000e-06
0,120,Ron,1.000000000000e-03
0,121,Roff,1.000000000000e-06
0,122,Ron,1.000000000000e-03
0,123,Roff,1.000000000000e-06
0,124,Roff,1.000000000000e-06
0,125,Roff,1.000000000000e-06
0,126,Roff,1.000000000000e-06
0,127,Roff,1.000000000000e-06
1,0,Ron,1.000000000000e-03
1,1,Ron,1.000000000000e-03
1,2,Roff,1.000000000000e-06
1,3,Roff,1.000000000000e-06
1,4,Roff,1.000000000000e-06
1,5,Ron,1.000000000000e-03
1,6,Roff,1.000000000000e-06
1,7,Ron,1.000000000000e-03
1,8,Ron,1.000000000000e-03
1,9,Roff,1.000000000000e-06
1,10,Roff,1.000000000000e-06
1,11,Roff,1.000000000000e-06
1,12,Roff,1.000000000000e-06
1,13,Ron,1.000000000000e-03
1,14,Roff,1.000000000000e-06
1,15,Roff,1.000000000000e-06
1,16,Roff,1.000000000000e-06
1,17,Roff,1.000000000000e-06
1,18,Ron,1.000000000000e-03
1,19,Ron,1.000000000000e-03
1,20,Roff,1.000000000000e-06
1,21,Roff,1.000000000000e-06
1,22,Ron,1.000000000000e-03
1,23,Ron,1.000000000000e-03
1,24,Ron,1.000000000000e-03
1,25,Roff,1.000000000000e-06
1,26,Ron,1.000000000000e-03
1,27,Ron,1.000000000000e-03
1,28,Ron,1.000000000000e-03
1,29,Roff,1.000000000000e-06
1,30,Ron,1.000000000000e-03
1,31,Roff,1.000000000000e-06
1,32,Ron,1.000000000000e-03
1,33,Ron,1.000000000000e-03
1,34,Ron,1.000000000000e-03
1,35,Ron,1.000000000000e-03
1,36,Roff,1.000000000000e-06
1,37,Roff,1.000000000000e-06
1,38,Roff,1.000000000000e-06
1,39,Ron,1.000000000000e-03
1,40,Roff,1.000000000000e-06
1,41,Ron,1.000000000000e-03
1,42,Ron,1.000000000000e-03
1,43,Roff,1.000000000000e-06
1,44,Roff,1.000000000000e-06
1,45,Ron,1.000000000000e-03
1,46,Ron,1.000000000000e-03
1,47,Ron,1.000000000000e-03
1,48,Roff,1.000000000000e-06
1,49,Ron,1.000000000000e-03
1,50,Roff,1.000000000000e-06
1,51,Roff,1.000000000000e-06
1,52,Ron,1.000000000000e-03
1,53,Roff,1.000000000000e-06
1,54,Ron,1.000000000000e-03
1,55,Roff,1.000000000000e-06
1,56,Roff,1.000000000000e-06
1,57,Ron,1.000000000000e-03
1,58,Roff,1.000000000000e-06
1,59,Roff,1.000000000000e-06
1,60,Roff,1.000000000000e-06
1,61,Roff,1.000000000000e-06
1,62,Ron,1.000000000000e-03
1,63,Roff,1.000000000000e-06
1,64,Ron,1.000000000000e-03
1,65,Ron,1.000000000000e-03
1,66,Ron,1.000000000000e-03
1,67,Ron,1.000000000000e-03
1,68,Ron,1.000000000000e-03
1,69,Ron,1.000000000000e-03
1,70,Ron,1.000000000000e-03
1,71,Ron,1.000000000000e-03
1,72,Roff,1.000000000000e-06
1,73,Ron,1.000000000000e-03
1,74,Ron,1.000000000000e-03
1,75,Ron,1.000000000000e-03
1,76,Ron,1.000000000000e-03
1,77,Ron,1.000000000000e-03
1,78,Roff,1.000000000000e-06
1,79,Roff,1.000000000000e-06
1,80,Roff,1.000000000000e-06
1,81,Roff,1.000000000000e-06
1,82,Ron,1.000000000000e-03
1,83,Roff,1.000000000000e-06
1,84,Roff,1.000000000000e-06
1,85,Roff,1.000000000000e-06
1,86,Ron,1.000000000000e-03
1,87,Roff,1.000000000000e-06
1,88,Roff,1.000000000000e-06
1,89,Roff,1.000000000000e-06
1,90,Roff,1.000000000000e-06
1,91,Ron,1.000000000000e-03
1,92,Ron,1.000000000000e-03
1,93,Roff,1.000000000000e-06
1,94,Roff,1.000000000000e-06
1,95,Roff,1.000000000000e-06
1,96,Ron,1.000000000000e-03
1,97,Roff,1.000000000000e-06
1,98,Roff,1.000000000000e-06
1,99,Roff,1.000000000000e-06
1,100,Ron,1.000000000000e-03
1,101,Ron,1.000000000000e-03
1,102,Ron,1.000000000000e-03
1,103,Roff,1.000000000000e-06
1,104,Ron,1.000000000000e-03
1,105,Ron,1.000000000000e-03
1,106,Roff,1.000000000000e-06
1,107,Ron,1.000000000000e-03
1,108,Roff,1.000000000000e-06
1,109,Roff,1.000000000000e-06
1,110,Roff,1.000000000000e-06
1,111,Ron,1.000000000000e-03
1,112,Roff,1.000000000000e-06
1,113,Roff,1.000000000000e-06
1,114,Ron,1.000000000000e-03
1,115,Roff,1.000000000000e-06
1,116,Ron,1.000000000000e-03
1,117,Ron,1.000000000000e-03
1,118,Ron,1.000000000000e-03
1,119,Ron,1.000000000000e-03
1,120,Ron,1.000000000000e-03
1,121,Roff,1.000000000000e-06
1,122,Roff,1.000000000000e-06
1,123,Ron,1.000000000000e-03
1,124,Ron,1.000000000000e-03
1,125,Ron,1.000000000000e-03
1,126,Ron,1.000000000000e-03
1,127,Ron,1.000000000000e-03
2,0,Roff,1.000000000000e-06
2,1,Roff,1.000000000000e-06
2,2,Roff,1.000000000000e-06
2,3,Ron,1.000000000000e-03
2,4,Roff,1.000000000000e-06
2,5,Roff,1.000000000000e-06
2,6,Roff,1.000000000000e-06
2,7,Roff,1.000000000000e-06
2,8,Roff,1.000000000000e-06
2,9,Ron,1.000000000000e-03
2,10,Ron,1.000000000000e-03
2,11,Ron,1.000000000000e-03
2,12,Roff,1.000000000000e-06
